index	table_id	annotator_id	premise	hypothesis	label
66	T8	GW0	Jeffrey Dahmer was Born on Jeffrey Lionel Dahmer , (1960-05-21)May 21, 1960 , Milwaukee, Wisconsin, U.S.. 	Jeffrey Dahmer was under two meters tall.	0
67	T8	GW0	Jeffrey Dahmer was Born on Jeffrey Lionel Dahmer , (1960-05-21)May 21, 1960 , Milwaukee, Wisconsin, U.S.. 	Jeffrey Dahmer was murdered by a prison guard.	1
68	T8	GW0	The Cause of death of Jeffrey Dahmer are Homicide (severe head trauma). 	Jeffrey Dahmer was given the death penalty.	2
69	T9	GW10	The Occupation(s) of Jeff Lynne are Musician, singer-songwriter, and record producer. 	Since 1963, Jeffrey Lynne actively engaged in the profession of Musician, singer-songwriter and record producer.	0
70	T9	GW10	The Birth name of Jeff Lynne are Jeffrey Lynne. 	Jeffrey Lynne owns ftmusic.com.	1
71	T9	GW10	The Birth name of Jeff Lynne are Jeffrey Lynne. 	Jeffrey Lynne age is below 70.	2
72	T9	GW5	The Birth name of Jeff Lynne are Jeffrey Lynne. 	Jeffrey Lynne had multiple nicknames.	0
73	T9	GW5	The Birth name of Jeff Lynne are Jeffrey Lynne. 	Jeffrey Lynne toured with George Harrison.	1
74	T9	GW5	Jeff Lynne was Born on ( 1947-12-30 )  30 December 1947  (age 71)  Erdington, Birmingham, England, United Kingdom. 	Jeffrey Lynne was signed to a single label throughout his career.	2
75	T9	GW1	Jeff Lynne was Born on ( 1947-12-30 )  30 December 1947  (age 71)  Erdington, Birmingham, England, United Kingdom. 	Jeff Lynne was born in the Winter of 1947.	0
76	T9	GW1	The Labels of Jeff Lynne are United Artists, Jet, Harvest, Epic, Sony BMG, Reprise, and Frontiers. 	Jeff Lynne preferred making music with United Artists over Sony BMG.	1
77	T9	GW1	The Years active of Jeff Lynne are 1963 - present. 	Jeff Lynne has been active in music for more than 60 years.	2
78	T10	GW0	The Released of Born to Run are August 25, 1975. 	Born to Run was released in the summer of 1975.	0
79	T10	GW0	The Recorded of Born to Run are May 1974 - July 1975. 	The majority of Born to Run was recorded in 1974.	1
80	T10	GW0	The Recorded of Born to Run are May 1974 - July 1975. 	Born to Run was recorded in a single New York studio.	2
81	T10	GW11	The Released of Born to Run are August 25, 1975. 	Born to Run was released in the second half of 1975.	0
82	T10	GW11	The Studio of Born to Run are Record Plant in New York City and 914 Sound Studios in Blauvelt. 	Bruce Springsteen lived in New York City in 1975.	1
83	T10	GW11	The Released of Born to Run are August 25, 1975. 	It snowed in NYC the day  Born to Run was released .	2
84	T10	GW1	The Label of Born to Run are Columbia. 	It took over a year to record the album Born to Run.	0
85	T10	GW1	The Producer of Born to Run are Bruce Springsteen, Mike Appel, and Jon Landau. 	Jon Landau did more producer work than Mike Appel on Born to Run.	1
86	T10	GW1	The Length of Born to Run are 39 : 23. 	The Spring of 1975 is when Born to Run was released.	2
87	T11	GW1	The Years of service of Jock Lewes are 1935-1941. 	Jock Lewes likely died while serving in the military.	0
88	T11	GW1	The Rank of Jock Lewes are Lieutenant. 	Jock Lewes would have risen above the rank of Lieutenant had he not died.	1
89	T11	GW1	Jock Lewes was Born on ( 1913-12-21 ) 21 December 1913 Calcutta, Bengal Presidency, British India. 	Jock Lewes was born in the Spring of 1913.	2
90	T11	GW2	Jock Lewes was Died on 30 December 1941 (1941-12-30)  (aged 28) Cyrenaica, Italian Libya. 	Jock Lewes fought when Hitler was in power in Germany.	0
91	T11	GW2	Jock Lewes was Died on 30 December 1941 (1941-12-30)  (aged 28) Cyrenaica, Italian Libya. 	Jock Lewes was killed in war.	1
92	T11	GW2	The Battles/wars of Jock Lewes are World War II, Western Desert Campaign , Operation Crusader. 	Jock Lewes fought in Operation Dessert Storm.	2
93	T11	GW0	The Years of service of Jock Lewes are 1935-1941. 	Jock Lewes was in the military for over five years.	0
94	T11	GW0	Jock Lewes was Died on 30 December 1941 (1941-12-30)  (aged 28) Cyrenaica, Italian Libya. 	Jock Lewes died during Operation Crusader.	1
95	T11	GW0	Jock Lewes was Died on 30 December 1941 (1941-12-30)  (aged 28) Cyrenaica, Italian Libya. 	Jock Lewes died in his home country.	2
96	T15	GW9	The Screenplay by of Jaws are Peter Benchley , and  Carl Gottlieb. 	Peter Benchley worked on both the original story and the screenplay for Jaws.	0
97	T15	GW9	The Production Compnay of Jaws are Zanuck/Brown Company , and Universal Pictures. 	Production for Jaws occured mostly in the spring of 1975.	1
98	T15	GW9	The Box office of Jaws are $470.7 million. 	Jaws did not break even while in the box office.	2
99	T15	GW4	The Budget of Jaws are $9 million. 	The film Jaws came out in the summer of 1975.	0
100	T15	GW4	The Produced by of Jaws are Richard D. Zanuck , and  David Brown. 	The movie Jaws was mostly produced by David Brown.	1
101	T15	GW4	The Based on of Jaws are Jaws  by Peter Benchley. 	The film Jaws made only $10 million on release.	2
102	T15	GW1	Jaws was Release date on June 20, 1975  ( 1975-06-20 ). 	Jaws was released in the Summer of 1975.	0
103	T15	GW1	The Screenplay by of Jaws are Peter Benchley , and  Carl Gottlieb. 	Carl Gottlieb wrote more of the screenplay to Jaws than Peter Benchley.	1
104	T15	GW1	The Running time of Jaws are 124 minutes. 	Jaws' run time is under two hours long.	2
105	T16	GW3	The • Empire established  of Ethiopian are 1270. 	Ethiopian Empire had many different capitals in different time periods.	0
106	T16	GW3	The Capital of Ethiopian are Unspecified  (1270–1635), Gondar (1635–1855), Magdala (1855–1868), Mekele (1871–1885), and Addis Ababa (1886–1974). 	the capital of the Ethiopian empire in 1270 was Gondar.	1
107	T16	GW3	The • Empire established  of Ethiopian are 1270. 	The Ethiopian Empire is currently a monarchy.	2
108	T16	GW1	The • Admitted to the United Nations  of Ethiopian are 13 November 1945. 	The Ethiopian Empire was admitted to the United Nations just after World War 2.	0
109	T16	GW1	The • Empire established  of Ethiopian are 1270. 	The Ethiopian Empire will reintroduce a monarch one day.	1
110	T16	GW1	The • Italo-Ethiopian War  of Ethiopian are 1895–1896. 	The Italo-Ethiopian War was late in the 18th century.	2
111	T16	GW0	The Capital of Ethiopian are Unspecified  (1270–1635), Gondar (1635–1855), Magdala (1855–1868), Mekele (1871–1885), and Addis Ababa (1886–1974). 	Gondar was the capital of Ethiopia for over two hundred years.	0
112	T16	GW0	The Common languages of Ethiopian are Ge'ez (official) Amharic, Afar, Gamo, Gedeo, Gurage, Hadiyya, Kafa, Oromo, Sidamo, Somali, Tigrinya, and Wolaytta (widely spoken). 	Ge'ez is the most common language spoken in Ethiopia.	1
113	T16	GW0	The Prime Minister of Ethiopian are Habte Giyorgis  (first ) (1909 - 1927), and Mikael Imru (last) (1974). 	Mikael Imru was Prime Minister of Ethiopia after Habte Giyorgis	2
114	T18	GW5	James Marsden was Born on James Paul Marsden    ( 1973-09-18 )  September 18, 1973  (age 45)   Stillwater, Oklahoma, U.S.. 	James Paul Marsden was born in the 20th century.	0
115	T18	GW5	James Marsden was Born on James Paul Marsden    ( 1973-09-18 )  September 18, 1973  (age 45)   Stillwater, Oklahoma, U.S.. 	James Paul Marsden preferred singing to acting.	1
116	T18	GW5	James Marsden was Born on James Paul Marsden    ( 1973-09-18 )  September 18, 1973  (age 45)   Stillwater, Oklahoma, U.S.. 	James Paul Marsden was born in the 19th century.	2
117	T18	GW12	James Marsden was Born on James Paul Marsden    ( 1973-09-18 )  September 18, 1973  (age 45)   Stillwater, Oklahoma, U.S.. 	James Marsden was married more than five years.	0
118	T18	GW12	The Years active of James Marsden are 1993 - present. 	James Marsden has fewer than four children.	1
119	T18	GW12	The Nationality of James Marsden are American. 	The middle name of James Marsden is Linde.	2
120	T18	GW1	The Years active of James Marsden are 1993 - present. 	James Marsden has been acting and modeling for more than 25 years.	0
121	T18	GW1	James Marsden was Born on James Paul Marsden    ( 1973-09-18 )  September 18, 1973  (age 45)   Stillwater, Oklahoma, U.S.. 	James Marsden got divorced due to infidelity.	1
122	T18	GW1	James Marsden was Born on James Paul Marsden    ( 1973-09-18 )  September 18, 1973  (age 45)   Stillwater, Oklahoma, U.S.. 	James Marsden was born in the Spring of 1973.	2
123	T21	GW1	The Year of Christ in the Desert are 1872. 	Christ in the Desert was painted in the latter half of the 19th century.	0
124	T21	GW1	The Artist of Christ in the Desert are Ivan Kramskoi. 	Ivan Kramskoi thought Christ in the Desert was his best painting yet.	1
125	T21	GW1	The Artist of Christ in the Desert are Ivan Kramskoi. 	The longer side of the painting is less than 6 feet long.	2
126	T21	GW4	The Location of Christ in the Desert are Tretyakov Gallery, Moscow. 	Christ in the Desert is located in Moscow.	0
127	T21	GW4	The Medium of Christ in the Desert are Oil on canvas. 	Christ in the Desert was made with oil based paint.	1
128	T21	GW4	The Artist of Christ in the Desert are Ivan Kramskoi. 	The art piece Christ in the Desert is over six feet tall.	2
129	T21	GW13	The Artist of Christ in the Desert are Ivan Kramskoi. 	Christ in the Desert was painted by Ivan Kramskoi in the early 1870s.	0
130	T21	GW13	The Artist of Christ in the Desert are Ivan Kramskoi. 	Ivan Kramskoi lived in Moscow in the 1870s.	1
131	T21	GW13	The Year of Christ in the Desert are 1872. 	Christ in the Desert was sculpted in the 1900s.	2
132	T22	GW1	The Budget of Everything, Everything are $10 million. 	Everything, Everything made about 50 million dollars over it's budget.	0
133	T22	GW1	The Country of Everything, Everything are United States. 	Everything, Everything was only released in the United States.	1
134	T22	GW1	The Running time of Everything, Everything are 96 minutes. 	Everything, Everything has a run time over two hours long.	2
135	T22	GW9	The Budget of Everything, Everything are $10 million. 	Everything, Everything made over six times its budget while in the box office.	0
136	T22	GW9	The Based on of Everything, Everything are Everything, Everything  by Nicola Yoon. 	Everything, Everything was based on a short story written by Nicola Yoon.	1
137	T22	GW9	Everything, Everything was Release date on May 19, 2017  ( 2017-05-19 )  (United States). 	Everything, Everything was over two hours long.	2
138	T22	GW4	The Directed by of Everything, Everything are Stella Meghie. 	Everything, Everything was a movie that Stella Meghie directed.	0
139	T22	GW4	The Distributed by of Everything, Everything are Warner Bros. Pictures. 	The movie Everything, Everything was purchased by Warner Brothers Pictures.	1
140	T22	GW4	The Box office of Everything, Everything are $61.6 million. 	The film Everything, Everything wound up losing money at the box office.	2
141	T23	GW1	The Running time of Jason Bourne are 123 minutes. 	The run time of Jason Bourne is longer than two hours.	0
142	T23	GW1	The Music by of Jason Bourne are John Powell , and  David Buckley. 	David Buckley did more of the music on Jason Bourne than John Powell.	1
143	T23	GW1	The Box office of Jason Bourne are $415.5 million. 	The box office of Jason Bourne was almost 400 million dollars more than the budget.	2
144	T23	GW0	The Running time of Jason Bourne are 123 minutes. 	Jason Bourne is over two hours long in running time.	0
145	T23	GW0	The Directed by of Jason Bourne are Paul Greengrass. 	Paul Greengrass wrote the majority of the Jason Bourne script.	1
146	T23	GW0	The Country of Jason Bourne are United States. 	Jason Bourne premiered in the United States before Odeon Leicester Square.	2
147	T23	GW2	The Budget of Jason Bourne are $120 - $135 million. 	The movie Jason Bourne was released during the summer.	0
148	T23	GW2	The Running time of Jason Bourne are 123 minutes. 	The movie Jason Bourne took 3 months to shoot.	1
149	T23	GW2	The Box office of Jason Bourne are $415.5 million. 	The movie Jason Bourne earned over half a million dollars at the box office.	2
150	T24	GW1	The Years active of Jimmy Eat World are 1993 - present. 	Jimmy Eat World was formed in the Southwestern United States.	0
151	T24	GW1	The Years active of Jimmy Eat World are 1993 - present. 	Jimmy Eat World liked making music on Dreamworks more than RCA.	1
152	T24	GW1	The Years active of Jimmy Eat World are 1993 - present. 	Jimmy Eat World has been a band for more than 30 years.	2
153	T24	GW0	The Years active of Jimmy Eat World are 1993 - present. 	Jimmy Eat World were founded in the early 1990's.	0
154	T24	GW0	The Website of Jimmy Eat World are jimmyeatworld .com. 	Jimmy Eat World released most of their albums on Geffen Records.	1
155	T24	GW0	The Origin of Jimmy Eat World are Mesa, Arizona, U.S.. 	Jimmy Eat World are from Minnesota.	2
156	T24	GW3	The Website of Jimmy Eat World are jimmyeatworld .com. 	Jimmy eat world is a band from Arizona which place multiple genres.	0
157	T24	GW3	The Origin of Jimmy Eat World are Mesa, Arizona, U.S.. 	Jimmy eat World plays metal.	1
158	T24	GW3	The Origin of Jimmy Eat World are Mesa, Arizona, U.S.. 	Jimmy eat world primarily plays classical music.	2
159	T25	GW0	The Origin of BTS are Seoul, South Korea. 	BTS is from the capital of South Korea.	0
160	T25	GW0	The Website of BTS are bts.ibighit.com. 	BTS was founded by the member, Pony Canyon.	1
161	T25	GW0	The Years active of BTS are 2013 - present. 	BTS are known for country music.	2
162	T25	GW1	The Years active of BTS are 2013 - present. 	BTS has gone by at least a few different names in the past.	0
163	T25	GW1	The Labels of BTS are Big Hit , Pony Canyon , Def Jam Japan , and Columbia. 	BTS likes recording music on Pony Canyon more than Columbia.	1
164	T25	GW1	The Years active of BTS are 2013 - present. 	BTS has been a band since the early 2000s.	2
165	T25	GW2	The Website of BTS are bts.ibighit.com. 	BTS originated in Asia.	0
166	T25	GW2	The Genres of BTS are K-pop , hip hop , R&B , and EDM. 	BTS has won 2 world music awards.	1
167	T25	GW2	The Years active of BTS are 2013 - present. 	BTS has been active for 9 years.	2
168	T27	GW1	The Box office of Charlie and the Chocolate Factory are $475 million. 	Charlie and the Chocolate Factory brought in close to half a billion dollars at the box office.	0
169	T27	GW1	The Produced by of Charlie and the Chocolate Factory are Brad Grey , and  Richard D. Zanuck. 	Richard D. Zanuck did more as a producer of Charlie and the Chocolate Factory than Brad Grey did.	1
170	T27	GW1	The Running time of Charlie and the Chocolate Factory are 115 minutes. 	Charlie and the Chocolate Factory has a run time of more than 2 hours.	2
171	T27	GW2	The Based on of Charlie and the Chocolate Factory are Charlie and the Chocolate Factory  by Roald Dahl. 	Charlie and the Chocolate Factory had more than 2 production companies.	0
172	T27	GW2	The Running time of Charlie and the Chocolate Factory are 115 minutes. 	Charlie and the Chocolate Factory was number 1 in theaters the first week it was released.	1
173	T27	GW2	The Based on of Charlie and the Chocolate Factory are Charlie and the Chocolate Factory  by Roald Dahl. 	Charlie and the Chocolate Factory was released at Christmas.	2
174	T27	GW0	The Running time of Charlie and the Chocolate Factory are 115 minutes. 	Charlie and the Chocolate Factory is not an original screenplay.	0
175	T27	GW0	The Country of Charlie and the Chocolate Factory are United States , United Kingdom , and Australia. 	Charlie and the Chocolate Factory grossed more money in the United Kingdom.	1
176	T27	GW0	The Budget of Charlie and the Chocolate Factory are $150 million. 	The Whole movie budget costed less than 100 million dollars to be made.	2
177	T462	GW4	The Recorded of Chocolate Starfish and the Hot Dog Flavored Water are February 2000 - May 2000. 	Chocolate Starfish and the Hot Dog Flavored Water is an album that came out in the fall of 2000.	0
178	T462	GW4	The Genre of Chocolate Starfish and the Hot Dog Flavored Water are Nu metal, and rap metal. 	Chocolate Starfish and the Hot Dog Flavored Water is an album that is mostly rap music.	1
179	T462	GW4	The Length of Chocolate Starfish and the Hot Dog Flavored Water are 75 : 00. 	The album Chocolate Starfish and the Hot Dog Flavored Water is under an hour in length.	2
180	T462	GW1	The Recorded of Chocolate Starfish and the Hot Dog Flavored Water are February 2000 - May 2000. 	It took about 3 months to record Chocolate Starfish and the Hot Dog Flavored Water.	0
181	T462	GW1	The Genre of Chocolate Starfish and the Hot Dog Flavored Water are Nu metal, and rap metal. 	People associate Chocolate Starfish and the Hot Dog Flavored Water more with rap metal than with Nu metal.	1
182	T462	GW1	The Length of Chocolate Starfish and the Hot Dog Flavored Water are 75 : 00. 	The total run time of all the tracks on Chocolate Starfish and the Hot Dog Flavored Water is less than one hour.	2
183	T462	GW0	The Label of Chocolate Starfish and the Hot Dog Flavored Water are Flip, and Interscope. 	Chocolate Starfish and the Hot Dog Flavored Water was recorded in California.	0
184	T462	GW0	The Producer of Chocolate Starfish and the Hot Dog Flavored Water are Terry Date. 	Chocolate Starfish and the Hot Dog Flavored Water is Terry Date's only production credit.	1
185	T462	GW0	The Length of Chocolate Starfish and the Hot Dog Flavored Water are 75 : 00. 	Chocolate Starfish and the Hot Dog Flavored Water is over eighty minutes long.	2
186	T32	GW2	The Years active of John Frusciante are 1988–present. 	John Frusciante was born in the spring.	0
187	T32	GW2	The Instruments of John Frusciante are Guitar , vocals , bass , keyboards , and synthesizer. 	John Frusciante has played keyboard longer than guitar.	1
188	T32	GW2	The Birth name of John Frusciante are John Anthony Frusciante. 	John Frusciante is a Baby Boomer.	2
189	T32	GW0	The Years active of John Frusciante are 1988–present. 	John Frusciante has been performing for over twenty years.	0
190	T32	GW0	The Years active of John Frusciante are 1988–present. 	John Frusciante is one of the founding members of the Red Hot Chili Peppers.	1
191	T32	GW0	The Birth name of John Frusciante are John Anthony Frusciante. 	John Frusciante plays only one instrument.	2
192	T32	GW1	The Years active of John Frusciante are 1988–present. 	John Frusciante has made music for more than 30 years.	0
193	T32	GW1	The Birth name of John Frusciante are John Anthony Frusciante. 	John Frusciante likes his nickname.	1
194	T32	GW1	John Frusciante was Born on ( 1970-03-05 )  March 5, 1970  (age 48)  Queens, New York City, United States. 	John Frusciante was born in the Summer of 1970.	2
195	T33	GW9	The Temperature of K2-21c are 4043+- 375 K. 	K2-21c has a temperature of at least 3000K.	0
196	T33	GW9	The Age of K2-21c are >1 Gyr. 	K2-21c is 275 light years away.	1
197	T33	GW9	The Age of K2-21c are >1 Gyr. 	The size of K2-21c is unknown, but estimated at greater than 1R_.	2
198	T33	GW4	The Star of K2-21c are K2-21. 	The star K2-21c is located in the Aquarius constellation.	0
199	T33	GW4	The Star of K2-21c are K2-21. 	The star K2-21c is slightly smaller than the Sun.	1
200	T33	GW4	The Temperature of K2-21c are 4043+- 375 K. 	K2-21c is over 5000 degrees K.	2
201	T33	GW1	The Mass of K2-21c are 0.64 +- 0.11 M. 	K2-21c is greater than 1 Gyr old.	0
202	T33	GW1	The Temperature of K2-21c are 4043+- 375 K. 	The temperature of K2-21c is pretty hot relative to other stars.	1
203	T33	GW1	The Age of K2-21c are >1 Gyr. 	K2-21 is not 1 Gyr old yet.	2
204	T34	GW1	The Children of John Paul Getty III are Balthazar Getty. 	One of John Paul Getty III's parents had been knighted.	0
205	T34	GW1	The Known for of John Paul Getty III are Being kidnapped. 	John Paul Getty III was released from being kidnapped due to a ransom being paid.	1
206	T34	GW1	John Paul Getty III was Died on February 5, 2011 (2011-02-05)  (aged 54)  Wormsley Park, Buckinghamshire, England. 	John Paul Getty III died in the Fall of 2011.	2
207	T34	GW0	John Paul Getty III was Died on February 5, 2011 (2011-02-05)  (aged 54)  Wormsley Park, Buckinghamshire, England. 	John Paul Getty III died in a different country than he was born.	0
208	T34	GW0	John Paul Getty III was Died on February 5, 2011 (2011-02-05)  (aged 54)  Wormsley Park, Buckinghamshire, England. 	John Paul Getty III was kidnapped as a child.	1
209	T34	GW0	The Children of John Paul Getty III are Balthazar Getty. 	John Paul Getty III has only one sibling.	2
210	T34	GW3	John Paul Getty III was Born on November 4, 1956 ( 1956-11-04 ) Minneapolis, Minnesota, U.S.. 	John Paul Getty III was born in Minnesota.	0
